Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Jason Witten (15677739),Jason Witten,15677739,TE/FLEX,2500,LV@CLE 11/01/2020 01:00PM ET,LV,2.75
TE,Foster Moreau (15677741),Foster Moreau,15677741,TE/FLEX,2500,LV@CLE 11/01/2020 01:00PM ET,LV,4.1
TE,Derek Carrier (15677743),Derek Carrier,15677743,TE/FLEX,2500,LV@CLE 11/01/2020 01:00PM ET,LV,0
TE,Nick O'Leary (15677745),Nick O'Leary,15677745,TE/FLEX,2500,LV@CLE 11/01/2020 01:00PM ET,LV,0
TE,Stephen Carlson (15677747),Stephen Carlson,15677747,TE/FLEX,2500,LV@CLE 11/01/2020 01:00PM ET,CLE,0.33
TE,Ryan Izzo (15677687),Ryan Izzo,15677687,TE/FLEX,2500,NE@BUF 11/01/2020 01:00PM ET,NE,2.5
TE,Dalton Keene (15677729),Dalton Keene,15677729,TE/FLEX,2500,NE@BUF 11/01/2020 01:00PM ET,NE,1.8
TE,Devin Asiasi (15677731),Devin Asiasi,15677731,TE/FLEX,2500,NE@BUF 11/01/2020 01:00PM ET,NE,0
TE,Lee Smith (15677733),Lee Smith,15677733,TE/FLEX,2500,NE@BUF 11/01/2020 01:00PM ET,BUF,7.1
TE,Tommy Sweeney (15677735),Tommy Sweeney,15677735,TE/FLEX,2500,NE@BUF 11/01/2020 01:00PM ET,BUF,0
TE,Reggie Gilliam (15677737),Reggie Gilliam,15677737,TE/FLEX,2500,NE@BUF 11/01/2020 01:00PM ET,BUF,1.92
TE,Trevon Wesco (15677717),Trevon Wesco,15677717,TE/FLEX,2500,NYJ@KC 11/01/2020 01:00PM ET,NYJ,0.25
TE,Daniel Brown (15677719),Daniel Brown,15677719,TE/FLEX,2500,NYJ@KC 11/01/2020 01:00PM ET,NYJ,0
TE,Nick Keizer (15677721),Nick Keizer,15677721,TE/FLEX,2500,NYJ@KC 11/01/2020 01:00PM ET,KC,0.97
TE,Deon Yelder (15677723),Deon Yelder,15677723,TE/FLEX,2500,NYJ@KC 11/01/2020 01:00PM ET,KC,0.75
TE,Ricky Seals-Jones (15677725),Ricky Seals-Jones,15677725,TE/FLEX,2500,NYJ@KC 11/01/2020 01:00PM ET,KC,0
TE,James Winchester (15677727),James Winchester,15677727,TE/FLEX,2500,NYJ@KC 11/01/2020 01:00PM ET,KC,0
TE,Durham Smythe (15677709),Durham Smythe,15677709,TE/FLEX,2500,LAR@MIA 11/01/2020 01:00PM ET,MIA,2.82
TE,Adam Shaheen (15677711),Adam Shaheen,15677711,TE/FLEX,2500,LAR@MIA 11/01/2020 01:00PM ET,MIA,3.8
TE,Johnny Mundt (15677713),Johnny Mundt,15677713,TE/FLEX,2500,LAR@MIA 11/01/2020 01:00PM ET,LAR,1.84
TE,Brycen Hopkins (15677715),Brycen Hopkins,15677715,TE/FLEX,2500,LAR@MIA 11/01/2020 01:00PM ET,LAR,0
TE,Jacob Hollister (15677695),Jacob Hollister,15677695,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SEA,4.05
TE,Luke Willson (15677697),Luke Willson,15677697,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SEA,0
TE,Colby Parkinson (15677699),Colby Parkinson,15677699,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SEA,0
TE,Tyler Ott (15677701),Tyler Ott,15677701,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SEA,0
TE,Ross Dwelley (15677703),Ross Dwelley,15677703,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SF,2.08
TE,Charlie Woerner (15677705),Charlie Woerner,15677705,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SF,0
TE,Jordan Reed (15677707),Jordan Reed,15677707,TE/FLEX,2500,SF@SEA 11/01/2020 04:25PM ET,SF,10.5
DST,Dolphins  (15677823),Dolphins ,15677823,DST,2400,LAR@MIA 11/01/2020 01:00PM ET,MIA,8
DST,Vikings  (15677824),Vikings ,15677824,DST,2200,MIN@GB 11/01/2020 01:00PM ET,MIN,2.33
DST,Bengals  (15677825),Bengals ,15677825,DST,2100,TEN@CIN 11/01/2020 01:00PM ET,CIN,2.57
DST,Jets  (15677826),Jets ,15677826,DST,2000,NYJ@KC 11/01/2020 01:00PM ET,NYJ,4.57
